Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
50,tt1038686,2011-07-04,2011-07-04,,"Legion","Legion",https://www.imdb.com/title/tt1038686/,Movie,5.3,100,2010,"Action, Fantasy, Horror",117859,2010-01-22,"Scott Stewart",,
51,tt0988045,2011-07-04,2011-07-04,,"Sherlock Holmes","Sherlock Holmes",https://www.imdb.com/title/tt0988045/,Movie,7.5,128,2009,"Action, Adventure, Mystery",697544,2009-12-25,"Guy Ritchie",,
52,tt0844760,2011-07-04,2011-07-04,,"Starship Troopers 3: Marauder","Starship Troopers 3: Marauder",https://www.imdb.com/title/tt0844760/,Video,4.4,105,2008,"Action, Adventure, Sci-Fi",25354,2008-08-05,"Edward Neumeier",,
53,tt0844479,2011-07-04,2011-07-04,,"The Collector","The Collector",https://www.imdb.com/title/tt0844479/,Movie,6.3,90,2009,"Horror, Thriller",78035,2009-07-31,"Marcus Dunstan",,
54,tt0483607,2011-07-04,2011-07-04,,"Doomsday","Doomsday",https://www.imdb.com/title/tt0483607/,Movie,5.9,105,2008,"Action, Sci-Fi, Thriller",81822,2008-03-14,"Neil Marshall",,
55,tt0119094,2011-07-04,2011-07-04,,"Face/Off","Face/Off",https://www.imdb.com/title/tt0119094/,Movie,7.3,138,1997,"Action, Crime, Sci-Fi, Thriller",419917,1997-06-27,"John Woo",,
56,tt1053859,2011-07-04,2011-07-04,,"The Grudge 3","The Grudge 3",https://www.imdb.com/title/tt1053859/,Movie,4.6,90,2009,"Horror, Mystery, Thriller",20474,2009-06-02,"Toby Wilkins",,
57,tt0758746,2011-07-04,2011-07-04,,"Friday the 13th","Friday the 13th",https://www.imdb.com/title/tt0758746/,Movie,5.5,97,2009,"Horror, Mystery, Thriller",124137,2009-02-13,"Marcus Nispel",,
58,tt1013752,2011-07-04,2011-07-04,,"Fast & Furious","Fast & Furious",https://www.imdb.com/title/tt1013752/,Movie,6.5,107,2009,"Action, Thriller",328841,2009-04-03,"Justin Lin",,
59,tt0364447,2011-07-04,2011-07-04,,"My Wife Is a Gangster 2","Jopog manura 2: Dolaon jeonseol",https://www.imdb.com/title/tt0364447/,Movie,6.0,110,2003,"Action, Comedy, Crime",1402,2003-09-05,"Heung-sun Jeong",,
60,tt0482522,2011-07-04,2011-07-04,,"Hookers Inc.","Hookers Inc.",https://www.imdb.com/title/tt0482522/,Movie,4.7,118,2006,"Comedy",123,2006,"Tim Pingel",,
61,tt0478087,2011-07-04,2011-07-04,,"21","21",https://www.imdb.com/title/tt0478087/,Movie,6.8,123,2008,"Crime, Drama, Thriller",277230,2008-03-28,"Robert Luketic",,
62,tt0457400,2011-07-04,2011-07-04,,"Land of the Lost","Land of the Lost",https://www.imdb.com/title/tt0457400/,Movie,5.3,102,2009,"Action, Adventure, Comedy, Sci-Fi",78525,2009-06-05,"Brad Silberling",,
63,tt0460740,2011-07-04,2011-07-04,,"Cashback","Cashback",https://www.imdb.com/title/tt0460740/,Movie,7.1,102,2006,"Comedy, Drama, Romance",93805,2006-11-21,"Sean Ellis",,
64,tt1213644,2011-07-04,2011-07-04,,"Disaster Movie","Disaster Movie",https://www.imdb.com/title/tt1213644/,Movie,1.9,87,2008,"Comedy, Sci-Fi",97138,2008-08-29,"Jason Friedberg, Aaron Seltzer",,
65,tt0831279,2011-07-04,2011-07-04,,"The Casino Job","The Casino Job",https://www.imdb.com/title/tt0831279/,Movie,3.5,81,2009,"Crime, Drama",1133,2009-03-10,"Christopher Robin Hood",,
66,tt0317740,2011-07-04,2011-07-04,,"The Italian Job","The Italian Job",https://www.imdb.com/title/tt0317740/,Movie,7.0,111,2003,"Action, Crime, Thriller",402549,2003-05-30,"F. Gary Gray",,
67,tt0499549,2011-07-04,2011-07-04,,"Avatar","Avatar",https://www.imdb.com/title/tt0499549/,Movie,7.9,162,2009,"Action, Adventure, Fantasy, Sci-Fi",1449915,2009-12-18,"James Cameron",,
68,tt1179034,2011-07-04,2011-07-04,,"From Paris with Love","From Paris with Love",https://www.imdb.com/title/tt1179034/,Movie,6.4,92,2010,"Action, Crime, Thriller",125495,2010-02-05,"Pierre Morel",,
69,tt0290002,2011-07-04,2011-07-04,,"Meet the Fockers","Meet the Fockers",https://www.imdb.com/title/tt0290002/,Movie,6.4,115,2004,"Comedy, Romance",298528,2004-12-22,"Jay Roach",,
70,tt0814255,2011-07-04,2011-07-04,,"Percy Jackson & the Olympians: The Lightning Thief","Percy Jackson & the Olympians: The Lightning Thief",https://www.imdb.com/title/tt0814255/,Movie,5.9,118,2010,"Adventure, Family, Fantasy",211770,2010-02-12,"Chris Columbus",,
71,tt1034032,2011-07-04,2011-07-04,,"Gamer","Gamer",https://www.imdb.com/title/tt1034032/,Movie,5.7,95,2009,"Action, Sci-Fi, Thriller",142858,2009-09-04,"Mark Neveldine, Brian Taylor",,
72,tt0356910,2011-07-04,2011-07-04,,"Mr. & Mrs. Smith","Mr. & Mrs. Smith",https://www.imdb.com/title/tt0356910/,Movie,6.5,120,2005,"Action, Comedy, Crime, Thriller",579043,2005-06-10,"Doug Liman",,
73,tt1172233,2011-07-04,2011-07-04,,"Whip It","Whip It",https://www.imdb.com/title/tt1172233/,Movie,6.9,111,2009,"Drama, Sport",71883,2009-10-02,"Drew Barrymore",,
74,tt1186367,2011-07-04,2011-07-04,,"Ninja Assassin","Ninja Assassin",https://www.imdb.com/title/tt1186367/,Movie,6.3,99,2009,"Action, Thriller",78747,2009-11-25,"James McTeigue",,
75,tt0814335,2011-07-04,2011-07-04,,"The Stepfather","The Stepfather",https://www.imdb.com/title/tt0814335/,Movie,5.6,101,2009,"Mystery, Thriller",41983,2009-10-16,"Nelson McCormick",,
76,tt0808510,2011-07-04,2011-07-04,,"Tooth Fairy","Tooth Fairy",https://www.imdb.com/title/tt0808510/,Movie,5.1,101,2010,"Comedy, Family, Fantasy, Sport",52300,2010-01-22,"Michael Lembeck",,
77,tt0881891,2011-07-04,2011-07-04,,"All About Steve","All About Steve",https://www.imdb.com/title/tt0881891/,Movie,4.8,99,2009,"Comedy, Romance",45721,2009-09-04,"Phil Traill",,
78,tt0808151,2011-07-04,2011-07-04,,"Angels & Demons","Angels & Demons",https://www.imdb.com/title/tt0808151/,Movie,6.7,138,2009,"Mystery, Thriller",321495,2009-05-15,"Ron Howard",,
79,tt0479968,2011-07-04,2011-07-04,,"One Missed Call","One Missed Call",https://www.imdb.com/title/tt0479968/,Movie,4.1,87,2008,"Horror, Mystery",35043,2008-01-04,"Eric Valette",,
80,tt0811138,2011-07-04,2011-07-04,,"The Love Guru","The Love Guru",https://www.imdb.com/title/tt0811138/,Movie,3.8,87,2008,"Comedy, Romance, Sport",56412,2008-06-20,"Marco Schnabel",,
81,tt1193138,2011-07-04,2011-07-04,,"Up in the Air","Up in the Air",https://www.imdb.com/title/tt1193138/,Movie,7.4,109,2009,"Comedy, Drama, Romance",357547,2009-12-23,"Jason Reitman",,
82,tt0989757,2011-07-04,2011-07-04,,"Dear John","Dear John",https://www.imdb.com/title/tt0989757/,Movie,6.3,108,2010,"Drama, Romance, War",162227,2010-02-05,"Lasse Hallström",,
83,tt0482527,2011-07-04,2011-07-04,,"It's a Boy Girl Thing","It's a Boy Girl Thing",https://www.imdb.com/title/tt0482527/,Movie,6.2,95,2006,"Comedy, Fantasy, Romance",44175,2006-12-26,"Nick Hurran",,
84,tt1041829,2011-07-04,2011-07-04,,"The Proposal","The Proposal",https://www.imdb.com/title/tt1041829/,Movie,6.8,108,2009,"Comedy, Drama, Romance",387452,2009-06-19,"Anne Fletcher",,
85,tt1220198,2011-07-04,2011-07-04,,"The Fourth Kind","The Fourth Kind",https://www.imdb.com/title/tt1220198/,Movie,5.9,98,2009,"Horror, Mystery, Sci-Fi, Thriller",85226,2009-11-06,"Olatunde Osunsanmi",,
86,tt0432021,2011-07-04,2011-07-04,,"Resident Evil: Extinction","Resident Evil: Extinction",https://www.imdb.com/title/tt0432021/,Movie,6.2,94,2007,"Action, Horror, Sci-Fi",212868,2007-09-21,"Russell Mulcahy",,
87,tt0482571,2011-07-04,2011-07-04,,"The Prestige","The Prestige",https://www.imdb.com/title/tt0482571/,Movie,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",1546535,2006-10-20,"Christopher Nolan",10,2016-01-30
88,tt0489664,2011-07-04,2011-07-04,,"Shattered","Butterfly on a Wheel",https://www.imdb.com/title/tt0489664/,Movie,6.6,95,2007,"Crime, Drama, Thriller",34757,2007-08-23,"Mike Barker",,
89,tt0486655,2011-07-04,2011-07-04,,"Stardust","Stardust",https://www.imdb.com/title/tt0486655/,Movie,7.6,127,2007,"Adventure, Fantasy, Romance",295204,2007-08-10,"Matthew Vaughn",,
90,tt0423294,2011-07-04,2011-07-04,,"Surf's Up","Surf's Up",https://www.imdb.com/title/tt0423294/,Movie,6.7,85,2007,"Animation, Adventure, Comedy, Family, Sport",99263,2007-06-08,"Ash Brannon, Chris Buck",,
91,tt0454841,2011-07-04,2011-07-04,,"The Hills Have Eyes","The Hills Have Eyes",https://www.imdb.com/title/tt0454841/,Movie,6.4,107,2006,"Horror, Thriller",192953,2006-03-10,"Alexandre Aja",,
92,tt0800069,2011-07-04,2011-07-04,,"The Hills Have Eyes 2","The Hills Have Eyes II",https://www.imdb.com/title/tt0800069/,Movie,5.1,89,2007,"Horror, Thriller",70421,2007-03-23,"Martin Weisz",,
93,tt0484562,2011-07-04,2011-07-04,,"The Seeker: The Dark Is Rising","The Seeker: The Dark Is Rising",https://www.imdb.com/title/tt0484562/,Movie,4.8,99,2007,"Adventure, Drama, Family, Fantasy, Thriller",16155,2007-10-05,"David L. Cunningham",,
94,tt0344854,2011-07-04,2011-07-04,,"Arthur and the Invisibles","Arthur et les Minimoys",https://www.imdb.com/title/tt0344854/,Movie,6.0,94,2006,"Animation, Adventure, Comedy, Family, Fantasy",43527,2007-01-12,"Luc Besson",,
95,tt0486822,2011-07-04,2011-07-04,,"Disturbia","Disturbia",https://www.imdb.com/title/tt0486822/,Movie,6.8,105,2007,"Crime, Drama, Mystery, Thriller",269973,2007-04-13,"D.J. Caruso",,
96,tt0992911,2011-07-04,2011-07-04,,"Flash Point","Dou foh sin",https://www.imdb.com/title/tt0992911/,Movie,6.7,88,2007,"Action, Crime, Thriller",14358,2007-08-03,"Wilson Yip",,
97,tt0387808,2011-07-04,2011-07-04,,"Idiocracy","Idiocracy",https://www.imdb.com/title/tt0387808/,Movie,6.5,84,2006,"Adventure, Comedy, Sci-Fi, Thriller",207447,2007-01-25,"Mike Judge",,
98,tt0091431,2011-07-04,2011-07-04,,"Armour of God","Lung hing foo dai",https://www.imdb.com/title/tt0091431/,Movie,6.9,88,1986,"Action, Adventure, Comedy",23758,1987-01-21,"Jackie Chan, Eric Tsang",,
99,tt0271946,2011-07-04,2011-07-04,,"The Accidental Spy","Dak mo mai sing",https://www.imdb.com/title/tt0271946/,Movie,5.8,87,2001,"Action, Comedy, Crime, Mystery, Thriller",19598,2001-01-18,"Teddy Chan",,
100,tt0800240,2011-07-04,2011-07-04,,"Deception","Deception",https://www.imdb.com/title/tt0800240/,Movie,6.0,107,2008,"Crime, Drama, Mystery, Thriller",41947,2008-04-25,"Marcel Langenegger",,
101,tt0460780,2011-07-04,2011-07-04,,"In the Name of the King: A Dungeon Siege Tale","In the Name of the King: A Dungeon Siege Tale",https://www.imdb.com/title/tt0460780/,Movie,3.8,127,2007,"Action, Adventure, Fantasy, Thriller, War",52671,2008-01-11,"Uwe Boll",,
102,tt0361748,2011-07-04,2011-07-04,,"Inglourious Basterds","Inglourious Basterds",https://www.imdb.com/title/tt0361748/,Movie,8.4,153,2009,"Adventure, Drama, War",1727337,2009-08-21,"Quentin Tarantino",,
103,tt0457419,2011-07-04,2011-07-04,,"Mr. Magorium's Wonder Emporium","Mr. Magorium's Wonder Emporium",https://www.imdb.com/title/tt0457419/,Movie,6.2,93,2007,"Comedy, Family, Fantasy",48914,2007-11-16,"Zach Helm",,
104,tt0431197,2011-07-04,2011-07-04,,"The Kingdom","The Kingdom",https://www.imdb.com/title/tt0431197/,Movie,7.0,110,2007,"Action, Drama, Thriller",136210,2007-09-28,"Peter Berg",,
105,tt0434409,2011-07-04,2011-07-04,,"V for Vendetta","V for Vendetta",https://www.imdb.com/title/tt0434409/,Movie,8.1,132,2005,"Action, Drama, Sci-Fi, Thriller",1229103,2006-03-17,"James McTeigue",,
106,tt0289043,2011-07-04,2011-07-04,,"28 Days Later","28 Days Later",https://www.imdb.com/title/tt0289043/,Movie,7.5,113,2002,"Drama, Horror, Sci-Fi, Thriller",522785,2003-06-27,"Danny Boyle",,
107,tt0426883,2011-07-04,2011-07-04,,"Alpha Dog","Alpha Dog",https://www.imdb.com/title/tt0426883/,Movie,6.9,122,2006,"Biography, Crime, Drama, Thriller",110717,2007-01-12,"Nick Cassavetes",,
108,tt0488085,2011-07-04,2011-07-04,,"Big Nothing","Big Nothing",https://www.imdb.com/title/tt0488085/,Movie,6.7,86,2006,"Comedy, Crime, Thriller",32634,2006-12-01,"Jean-Baptiste Andrea",,
109,tt0910865,2011-07-04,2011-07-04,,"Doctor Strange","Doctor Strange",https://www.imdb.com/title/tt0910865/,Video,6.6,76,2007,"Animation, Action, Fantasy",9139,2007-08-14,"Patrick Archibald, Jay Oliva, Dick Sebast, Frank Paur",,
110,tt0448011,2011-07-04,2011-07-04,,"Knowing","Knowing",https://www.imdb.com/title/tt0448011/,Movie,6.2,121,2009,"Mystery, Sci-Fi, Thriller",258934,2009-03-20,"Alex Proyas",,
111,tt0338216,2011-07-04,2011-07-04,,"Lucky You","Lucky You",https://www.imdb.com/title/tt0338216/,Movie,5.9,124,2007,"Drama, Romance, Sport",21516,2007-05-04,"Curtis Hanson",,
112,tt0887912,2011-07-04,2011-07-04,,"The Hurt Locker","The Hurt Locker",https://www.imdb.com/title/tt0887912/,Movie,7.5,131,2008,"Drama, Thriller, War",489381,2009-07-31,"Kathryn Bigelow",,
113,tt0884328,2011-07-04,2011-07-04,,"The Mist","The Mist",https://www.imdb.com/title/tt0884328/,Movie,7.1,126,2007,"Horror, Sci-Fi, Thriller",365752,2007-11-21,"Frank Darabont",10,2015-05-10
114,tt0120794,2011-07-04,2011-07-04,,"The Prince of Egypt","The Prince of Egypt",https://www.imdb.com/title/tt0120794/,Movie,7.2,99,1998,"Animation, Adventure, Drama, Family, Fantasy, Musical",158233,1998-12-18,"Brenda Chapman, Steve Hickner, Simon Wells",,
115,tt0416236,2011-07-04,2011-07-04,,"The Spiderwick Chronicles","The Spiderwick Chronicles",https://www.imdb.com/title/tt0416236/,Movie,6.5,96,2008,"Action, Adventure, Drama, Family, Fantasy, Thriller",107440,2008-02-14,"Mark Waters",,
116,tt0473356,2011-07-04,2011-07-04,,"The Flock","The Flock",https://www.imdb.com/title/tt0473356/,Movie,5.7,96,2007,"Crime, Drama, Mystery, Thriller",12692,2007-08-04,"Wai Keung Lau",,
117,tt0118571,2011-07-04,2011-07-04,,"Air Force One","Air Force One",https://www.imdb.com/title/tt0118571/,Movie,6.5,124,1997,"Action, Crime, Drama, Thriller",220565,1997-07-25,"Wolfgang Petersen",,
118,tt1279935,2011-07-04,2011-07-04,,"Date Night","Date Night",https://www.imdb.com/title/tt1279935/,Movie,6.3,88,2010,"Comedy, Crime, Romance, Thriller",177745,2010-04-09,"Shawn Levy",,
119,tt1250777,2011-07-04,2011-07-04,,"Kick-Ass","Kick-Ass",https://www.imdb.com/title/tt1250777/,Movie,7.6,117,2010,"Action, Comedy, Crime",614680,2010-04-16,"Matthew Vaughn",,
120,tt1037705,2011-07-04,2011-07-04,,"The Book of Eli","The Book of Eli",https://www.imdb.com/title/tt1037705/,Movie,6.8,118,2010,"Action, Adventure, Drama, Thriller",355836,2010-01-15,"Albert Hughes, Allen Hughes",,
121,tt0380510,2011-07-04,2011-07-04,,"The Lovely Bones","The Lovely Bones",https://www.imdb.com/title/tt0380510/,Movie,6.6,135,2009,"Drama, Fantasy, Thriller",188730,2010-01-15,"Peter Jackson",,
122,tt1078940,2011-07-04,2011-07-04,,"Couples Retreat","Couples Retreat",https://www.imdb.com/title/tt1078940/,Movie,5.6,113,2009,"Comedy",119850,2009-10-09,"Peter Billingsley",,
123,tt0433362,2011-07-04,2011-07-04,,"Daybreakers","Daybreakers",https://www.imdb.com/title/tt0433362/,Movie,6.4,98,2009,"Action, Horror, Sci-Fi, Thriller",139535,2010-01-08,"Michael Spierig, Peter Spierig",,
